model,run,loss_score,MAE,MSE,optimizer,loss,learning_rate,regularization,dropout,epochs,batch_size,model_type
random_200 -> energy_atom,val,0.9658107089996338,1.393620252609253,3.019789218902588,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> energy_atom,test,0.9769586146562949,1.4050323963165283,3.519864797592163,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat_shuffled -> ael_shear_modulus_vrh,train,7.20004184725213,7.395731449127197,243.77777099609375,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat_shuffled -> ael_shear_modulus_vrh,val,18.073270479838055,18.35814094543457,727.0557250976562,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat_shuffled -> ael_shear_modulus_vrh,test,18.05414253473282,18.428930282592773,806.4093627929688,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> agl_thermal_conductivity_300K,train,4.256103184793873,4.723196029663086,116.01446533203125,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> agl_thermal_conductivity_300K,val,4.183191908730401,4.613450527191162,115.66844177246094,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> agl_thermal_conductivity_300K,test,4.467546701431274,4.997922897338867,119.4795150756836,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis -> agl_log10_thermal_expansion_300K,train,240.10011193209672,0.14332114160060883,0.03502732515335083,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis -> agl_log10_thermal_expansion_300K,val,239.6597205268012,0.14034664630889893,0.03346896544098854,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis -> agl_log10_thermal_expansion_300K,test,239.65961074829102,0.145407572388649,0.033144913613796234,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> agl_log10_thermal_expansion_300K,train,0.025679939775409326,0.17614881694316864,0.05133596435189247,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> agl_log10_thermal_expansion_300K,val,0.025148644629451964,0.17276491224765778,0.0504472590982914,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> agl_log10_thermal_expansion_300K,test,0.025469262502156198,0.1792818158864975,0.05104547739028931,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat_shuffled -> ael_debye_temperature,train,32.5063341683639,31.760549545288086,5101.91552734375,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat_shuffled -> ael_debye_temperature,val,68.78284878200955,68.28832244873047,10313.25,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat_shuffled -> ael_debye_temperature,test,68.95976066589355,68.25996398925781,12085.0869140625,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> ael_shear_modulus_vrh,train,28.479889440406414,28.976058959960938,1924.099365234375,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> ael_shear_modulus_vrh,val,28.601318359375,28.99574089050293,1734.501953125,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> ael_shear_modulus_vrh,test,29.189640164375305,29.531967163085938,1923.59765625,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> ael_shear_modulus_vrh,train,28.43604736987227,28.932825088500977,1912.8975830078125,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> ael_shear_modulus_vrh,val,28.377550337049698,28.996919631958008,1729.7591552734375,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> ael_shear_modulus_vrh,test,28.57662832736969,29.51885986328125,1917.946533203125,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
atom2vec -> ael_bulk_modulus_vrh,train,8.077356450085786,7.5553507804870605,186.53778076171875,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
atom2vec -> ael_bulk_modulus_vrh,val,19.708342022365994,19.2020263671875,807.192138671875,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
atom2vec -> ael_bulk_modulus_vrh,test,19.320176005363464,18.713510513305664,801.0115356445312,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
mat_shuffled -> ael_bulk_modulus_vrh,train,9.645384735033417,9.654860496520996,289.988037109375,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat_shuffled -> ael_bulk_modulus_vrh,val,24.13220469156901,24.209266662597656,1276.05908203125,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat_shuffled -> ael_bulk_modulus_vrh,test,23.58976036310196,23.975038528442383,1326.3353271484375,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
magpie -> ael_shear_modulus_vrh,train,28.529752532436326,29.006372451782227,1918.6805419921875,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
magpie -> ael_shear_modulus_vrh,val,28.60289912753635,29.072853088378906,1796.819580078125,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
magpie -> ael_shear_modulus_vrh,test,29.801023840904236,29.765323638916016,1996.48388671875,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
random_200 -> Egap,train,0.8702539344267411,1.3203799724578857,3.177304744720459,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> Egap,val,0.8745795035362244,1.3240877389907837,3.1608762741088867,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> Egap,test,0.880745422566074,1.3333896398544312,3.166203737258911,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat_shuffled -> Egap,train,0.8696661389078233,1.3198221921920776,3.174025535583496,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat_shuffled -> Egap,val,0.8707359766960144,1.3241407871246338,3.1603453159332275,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat_shuffled -> Egap,test,0.8811270101317044,1.3334299325942993,3.165648937225342,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat2vec -> energy_atom,train,0.9550511258543511,1.3827307224273682,2.942436933517456,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat2vec -> energy_atom,val,0.9694447493553162,1.3936353921890259,3.0199389457702637,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat2vec -> energy_atom,test,0.9763924232844648,1.40501868724823,3.519925355911255,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
oliynyk -> ael_shear_modulus_vrh,train,28.50998294936827,29.00676918029785,1915.1207275390625,Adam,huber_loss,0.01,l2,0.4,200,32,light_alex_net
oliynyk -> ael_shear_modulus_vrh,val,29.03269312116835,28.99738121032715,1727.927978515625,Adam,huber_loss,0.01,l2,0.4,200,32,light_alex_net
oliynyk -> ael_shear_modulus_vrh,test,29.1745419040803,29.51403045654297,1915.759765625,Adam,huber_loss,0.01,l2,0.4,200,32,light_alex_net
jarvis -> ael_shear_modulus_vrh,train,2019.9482517340718,29.190418243408203,1910.255859375,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis -> ael_shear_modulus_vrh,val,1988.727267795139,29.02425765991211,1767.8349609375,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis -> ael_shear_modulus_vrh,test,1989.5450592041016,29.641891479492188,1962.857666015625,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat2vec -> agl_thermal_conductivity_300K,train,0.9045571683026751,1.2066280841827393,12.504134178161621,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat2vec -> agl_thermal_conductivity_300K,val,2.64488238758511,3.018216848373413,47.97590255737305,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat2vec -> agl_thermal_conductivity_300K,test,2.7859475910663605,3.1160736083984375,52.230953216552734,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat2vec -> agl_log10_thermal_expansion_300K,train,0.025787610721960324,0.17632094025611877,0.05157124251127243,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat2vec -> agl_log10_thermal_expansion_300K,val,0.02519006199306912,0.17265211045742035,0.050435908138751984,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat2vec -> agl_log10_thermal_expansion_300K,test,0.025196128815878183,0.17923083901405334,0.051045432686805725,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> ael_debye_temperature,train,18.62701547171138,17.98064422607422,1545.8331298828125,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> ael_debye_temperature,val,67.03056886461046,66.45049285888672,10583.2060546875,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> ael_debye_temperature,test,70.27528190612793,67.88349151611328,10734.7109375,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> ael_debye_temperature,train,36.1685936364957,31.656408309936523,4496.8076171875,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> ael_debye_temperature,val,74.62840270996094,70.44039916992188,10101.517578125,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_200 -> ael_debye_temperature,test,76.77858877182007,72.34564208984375,12643.7080078125,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat2vec -> ael_shear_modulus_vrh,train,4.230101436656618,4.343419075012207,100.87775421142578,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat2vec -> ael_shear_modulus_vrh,val,13.263630549112955,13.42361068725586,493.4843444824219,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat2vec -> ael_shear_modulus_vrh,test,14.296811163425446,14.50304889678955,570.6612548828125,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis -> ael_debye_temperature,train,3275.8782365838842,319.1772766113281,139091.0625,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis -> ael_debye_temperature,val,3270.9854329427085,318.6476135253906,131291.46875,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis -> ael_debye_temperature,test,3280.6793518066406,326.9186096191406,141521.75,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat2vec -> ael_debye_temperature,train,23.038649150551215,22.404850006103516,1254.9381103515625,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat2vec -> ael_debye_temperature,val,51.39695739746094,50.40428161621094,6988.14892578125,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat2vec -> ael_debye_temperature,test,54.07890558242798,52.5703125,8908.2998046875,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis_shuffled -> agl_thermal_conductivity_300K,train,644.8704338583593,5.202836036682129,643.8429565429688,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis_shuffled -> agl_thermal_conductivity_300K,val,643.5855984157986,4.6125969886779785,115.88523864746094,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis_shuffled -> agl_thermal_conductivity_300K,test,643.8348617553711,4.998089790344238,119.71540069580078,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
mat2vec -> ael_bulk_modulus_vrh,train,6.33783600394673,6.405884742736816,117.10895538330078,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
